,ID_VRSTE,ID_LOKACIJE,KONCENTRACIJA,TENDENCIJA,dan,mesec,godina,vrstaBiljke,alergenost,nadmorskaVisina,nadmorskaSirina
290,2,2,0,0,29,5,2011,0,2,20.466666699999998,44.8
291,3,2,0,0,29,5,2011,1,2,20.466666699999998,44.8
292,4,2,0,0,29,5,2011,1,1,20.466666699999998,44.8
293,5,2,0,0,29,5,2011,0,2,20.466666699999998,44.8
294,6,2,0,3,29,5,2011,1,0,20.466666699999998,44.8
295,7,2,0,0,29,5,2011,0,0,20.466666699999998,44.8
296,8,2,0,3,29,5,2011,1,1,20.466666699999998,44.8
297,9,2,0,0,29,5,2011,0,1,20.466666699999998,44.8
298,10,2,0,1,29,5,2011,0,1,20.466666699999998,44.8
299,11,2,0,1,29,5,2011,0,0,20.466666699999998,44.8
300,12,2,0,0,29,5,2011,0,1,20.466666699999998,44.8
301,13,2,0,1,29,5,2011,0,1,20.466666699999998,44.8
302,14,2,0,1,29,5,2011,0,0,20.466666699999998,44.8
303,15,2,0,2,29,5,2011,0,0,20.466666699999998,44.8
304,16,2,1,3,29,5,2011,1,1,20.466666699999998,44.8
305,17,2,0,0,29,5,2011,0,1,20.466666699999998,44.8
306,18,2,1,3,29,5,2011,2,2,20.466666699999998,44.8
307,19,2,0,0,29,5,2011,0,1,20.466666699999998,44.8
308,20,2,0,0,29,5,2011,0,1,20.466666699999998,44.8
309,21,2,1,3,29,5,2011,1,1,20.466666699999998,44.8
310,22,2,0,0,29,5,2011,0,0,20.466666699999998,44.8
311,23,2,1,3,29,5,2011,0,0,20.466666699999998,44.8
312,24,2,0,0,29,5,2011,0,0,20.466666699999998,44.8
313,25,2,2,3,29,5,2011,1,2,20.466666699999998,44.8
314,1,8,0,1,29,5,2011,0,0,21.9002778,42.5513889
315,2,8,0,0,29,5,2011,0,2,21.9002778,42.5513889
316,3,8,0,0,29,5,2011,1,2,21.9002778,42.5513889
317,4,8,0,0,29,5,2011,1,1,21.9002778,42.5513889
318,5,8,0,1,29,5,2011,0,2,21.9002778,42.5513889
319,6,8,0,3,29,5,2011,1,0,21.9002778,42.5513889
320,7,8,0,0,29,5,2011,0,0,21.9002778,42.5513889
321,8,8,0,3,29,5,2011,1,1,21.9002778,42.5513889
322,9,8,0,0,29,5,2011,0,1,21.9002778,42.5513889
323,10,8,0,1,29,5,2011,0,1,21.9002778,42.5513889
324,11,8,0,1,29,5,2011,0,0,21.9002778,42.5513889
325,12,8,0,1,29,5,2011,0,1,21.9002778,42.5513889
326,13,8,0,1,29,5,2011,0,1,21.9002778,42.5513889
327,14,8,1,1,29,5,2011,0,0,21.9002778,42.5513889
328,15,8,1,2,29,5,2011,0,0,21.9002778,42.5513889
329,16,8,0,3,29,5,2011,1,1,21.9002778,42.5513889
330,17,8,0,1,29,5,2011,0,1,21.9002778,42.5513889
331,18,8,1,3,29,5,2011,2,2,21.9002778,42.5513889
332,19,8,0,0,29,5,2011,0,1,21.9002778,42.5513889
333,20,8,1,1,29,5,2011,0,1,21.9002778,42.5513889
334,21,8,0,3,29,5,2011,1,1,21.9002778,42.5513889
335,22,8,0,0,29,5,2011,0,0,21.9002778,42.5513889
336,23,8,0,0,29,5,2011,0,0,21.9002778,42.5513889
337,24,8,0,0,29,5,2011,0,0,21.9002778,42.5513889
338,25,8,0,3,29,5,2011,1,2,21.9002778,42.5513889
339,1,3,0,0,29,5,2011,0,0,20.3497222,43.891388899999995
340,2,3,0,0,29,5,2011,0,2,20.3497222,43.891388899999995
341,3,3,0,0,29,5,2011,1,2,20.3497222,43.891388899999995
342,4,3,0,0,29,5,2011,1,1,20.3497222,43.891388899999995
343,5,3,0,1,29,5,2011,0,2,20.3497222,43.891388899999995
344,6,3,0,3,29,5,2011,1,0,20.3497222,43.891388899999995
345,7,3,0,1,29,5,2011,0,0,20.3497222,43.891388899999995
346,8,3,0,0,29,5,2011,1,1,20.3497222,43.891388899999995
347,9,3,0,0,29,5,2011,0,1,20.3497222,43.891388899999995
348,10,3,0,1,29,5,2011,0,1,20.3497222,43.891388899999995
349,11,3,0,1,29,5,2011,0,0,20.3497222,43.891388899999995
350,12,3,0,1,29,5,2011,0,1,20.3497222,43.891388899999995
351,13,3,0,1,29,5,2011,0,1,20.3497222,43.891388899999995
